ID;Fichier
202500;FinnishLightStemmer.java
202501;GermanMinimalStemFilter.java
202502;VocabularyAssert.java
202503;BulgarianStemmer.java
202504;GermanLightStemmer.java
202505;FrenchLightStemFilter.java
202506;GermanMinimalStemmer.java
202507;PersianNormalizer.java
202508;ArabicNormalizer.java
202509;HindiStemmer.java
2025010;PortugueseLightStemmer.java
2025011;TimeLimitingCollector.java
2025012;QueryParserTokenManager.java
2025013;FieldQueryTest.java
2025014;ExtendableQueryParser.java
2025015;MultiFieldQueryParser.java
2025016;TestMultiAnalyzer.java
2025017;TopDocsCollector.java
2025018;FragmentsBuilder.java
2025019;FuzzyTermEnum.java
2025020;TestNGramDistance.java
2025021;TestCartesianShapeFilter.java
2025022;TestRamUsageEstimator.java
2025023;TestJaroWinklerDistance.java
2025024;TestLevenshteinDistance.java
2025025;BoostingQueryTest.java
2025026;TestJakartaRegexpCapabilities.java
2025027;Test01Exceptions.java
2025028;SuggestWordQueue.java
2025029;WildcardTermEnum.java
2025030;FastVectorHighlighter.java
2025031;BasqueStemmer.java
2025032;CatalanStemmer.java
2025033;ArmenianStemmer.java
2025034;PayloadFunction.java
2025035;MaxPayloadFunction.java
2025036;MinPayloadFunction.java
2025037;FilteredQuery.java
2025038;TermScorer.java
2025039;SpanScorer.java
2025040;MatchAllDocsQuery.java
2025041;TestSerialization.java
2025042;TestBinaryDocument.java
2025043;TestCharTokenizers.java
2025044;TestCharArrayMap.java
2025045;TestCachingTokenFilter.java
2025046;TestTermdocPerf.java
2025047;TestExtensions.java
2025048;NGramTokenizerTest.java
2025049;TestStopAnalyzer.java
2025050;EdgeNGramTokenizerTest.java
2025051;TestFieldInfos.java
2025052;TestMultiReader.java
2025053;TestConfig.java
2025054;TestTermAttributeImpl.java
2025055;TestPositionBasedTermVectorMapper.java
2025056;TestPerfTasksParse.java
2025057;TestLaoBreakIterator.java
2025058;BooleanQueryTst.java
2025059;DistanceUnits.java
2025060;DistanceCheck.java
2025061;GeoHashDistanceFilter.java
2025062;DistanceHandler.java
2025063;LatLongDistanceFilter.java
2025064;Term.java
2025065;FileBasedQueryMaker.java
2025066;DistanceUtils.java
2025067;DistanceUtilsTest.java
2025068;ValueSourceQuery.java
2025069;ScoreOrderFragmentsBuilderTest.java
2025070;SimpleFragmentsBuilderTest.java
2025071;FieldTermStackTest.java
2025072;FieldPhraseListTest.java
2025073;NorwegianAnalyzer.java
2025074;FinnishAnalyzer.java
2025075;ClassicAnalyzer.java
2025076;BulgarianAnalyzer.java
2025077;PortugueseAnalyzer.java
2025078;SpanishAnalyzer.java
2025079;GreekAnalyzer.java
2025080;RomanianAnalyzer.java
2025081;ClassicTokenizer.java
2025082;HungarianAnalyzer.java
2025083;ThaiAnalyzer.java
2025084;TurkishAnalyzer.java
2025085;SwedishAnalyzer.java
2025086;StandardAnalyzer.java
2025087;ClassicFilter.java
2025088;DanishAnalyzer.java
2025089;QueryParser.java
2025090;SingleFragListBuilder.java
2025091;NumericRangeFilterBuilder.java
2025092;TestNumericRangeQueryBuilder.java
2025093;NumericRangeQueryBuilder.java
2025094;WikipediaTokenizerImpl.java
2025095;MultiTrie2.java
2025096;HHMMSegmenter.java
2025097;SinusoidalProjector.java
2025098;AbstractDictionary.java
2025099;BiSegGraph.java
20250100;InstantiatedTerm.java
20250101;TrecJudge.java
20250102;StandardSyntaxParser.java
20250103;TernaryTree.java
20250104;DirectIOLinuxDirectory.java
20250105;ShingleFilterTest.java
20250106;SpanNearQuery.java
20250107;WordBreakTestUnicode_6_0_0.java
20250108;TestQueryTemplateManager.java
20250109;NLS.java
20250110;FieldBoostMapAttribute.java
20250111;QueryParserWrapper.java
20250112;TestMultiFieldQueryParserWrapper.java
20250113;StandardQueryParser.java
20250114;MultiFieldQueryParserWrapper.java
20250115;SearchTravRetHighlightTask.java
20250116;CommitIndexTask.java
20250117;SearchTravRetVectorHighlightTask.java
20250118;TestNLS.java
20250119;TestSpanQueryParser.java
20250120;TestSpanQueryParserSimpleSample.java
20250121;TestQueryParserWrapper.java
20250122;StandardQueryNodeProcessorPipeline.java
20250123;QueryNodeProcessorPipeline.java
20250124;PrecedenceQueryParser.java
20250125;BooleanModifiersQueryNodeProcessor.java
20250126;PrecedenceQueryNodeProcessorPipeline.java
20250127;TokenStreamFromTermPositionVector.java
20250128;CompoundWordTokenFilterBase.java
20250129;IndexableBinaryStringTools.java
20250130;English.java
20250131;ToStringUtils.java
20250132;SnapshotDeletionPolicy.java
